"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"P";"LED";"";"2468791RL";"";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"E";"LED";"";"2468792RL";"";"";"";
"1";"";"LEDCHIP-LED0603";"CHIP-LED0603";"A";"LED";"";"2468793RL";"";"";"";
"1";"1.5K";"R-EU_R0402";"R0402";"R4";"RESISTOR, European symbol";"";"2302739RL";"";"";"";
"7";"100nF";"C-EUC0402K";"C0402K";"C8, C12, C14, C15, C16, C30, C31";"CAPACITOR, European symbol";"";"1759380RL";"";"";"";
"5";"10K";"R-EU_R0402";"R0402";"R3, R5, R9, R10, R12";"RESISTOR, European symbol";"";"2302739RL";"";"";"";
"2";"10nF";"C-EUC0402K";"C0402K";"C6, C11";"CAPACITOR, European symbol";"";"1758924RL";"";"";"";
"1";"15K";"R-EU_R0402";"R0402";"R13";"RESISTOR, European symbol";"";"2302739RL";"";"";"";
"2";"18pF";"C-EUC0402K";"C0402K";"C9, C10";"CAPACITOR, European symbol";"";"1758947RL";"";"";"";
"1";"1M";"R-EU_R0402";"R0402";"R2";"RESISTOR, European symbol";"";"2302957RL";"";"";"";
"1";"1uF";"C-EUC0402K";"C0402K";"C7";"CAPACITOR, European symbol";"";"2320776RL ";"";"";"";
"1";"1uF";"C-EUC0603K";"C0603K";"C1";"CAPACITOR, European symbol";"";"1759409RL";"";"";"";
"2";"22R";"R-EU_R0402";"R0402";"R1, R11";"RESISTOR, European symbol";"";"2302739RL";"";"";"";
"2";"4.7uF";"C-EUC0603K";"C0603K";"C13, C18";"CAPACITOR, European symbol";"";"2320818RL";"";"";"";
"3";"820";"R-EU_R0402";"R0402";"R6, R7, R8";"RESISTOR, European symbol";"";"2302628RL";"";"";"";
"1";"ABM3B";"ABM3B-8.000MHZ-B2-T";"5X3.2MM";"Y1";"";"";"2467818RL";"";"";"";
"2";"BAT721C";"BAT721C";"SOT23";"D1, D2";"Schottky Diodes";"";"1081199RL";"";"";"";
"1";"LP2992IM5-3.3";"LP2992IM5-3.3";"SOT-23";"U1";"Low-Dropout Regulator";"LP2992IM5-3.3";"1469141RL";"";"";"";
"1";"M25P16VMN6P";"M25P16VMN6P";"M25P16";"U6";"";"";"1734973";"";"";"";
"1";"MEM2051-00-195-00-A";"MEM2051-00-195-00-A";"MEM2051";"X6";"GLOBAL CONNECTOR TECHNOLOGY  MEM2051-00-195-00-A  STECKPLATZ, MICRO-SD, 8POS, SMTHersteller: GLOBAL CONNECTOR TECHNOLOGYBestellnummer: 2443092Herstellerteilenummer: MEM2051-00-195-00-A";"";"2443092";"";"";"";
"3";"SM4B-ZR";"SM4B-ZR";"S4B-ZR-SM4";"OSD, SENSOR, TELEM";"ZH Connector: 1.5mm pitch/Disconnectable Crimp style connector";"";"1830923";"";"";"";
"1";"SN65HVD232D";"SN65HVD232D";"SOIC127P600X175-8N";"U3";"3.3-V CAN TRANSCEIVERS";"SN65HVD232D";"1103107";"35K4890";"SOIC-8";"Texas Instruments";
"1";"STM32F303RET6";"STM32F303RET6";"LQFP64";"U4";"ARM® Cortex®-M4 32b MCU+FPU, up to 512KB Flash, 80KB SRAM, FMC, 4 ADCs, 2 DAC ch., 7 comp, 4 Op-Amp, 2.0-3.6 V";"";"2466939";"";"";"";
"1";"TC2030-IDC-NL";"TC2030-IDC-NL";"TC2030-IDC";"X7";"";"";"";"";"";"";
"1";"X8B-ZR-SM4";"X8B-ZR-SM4";"S8B-ZR-SM4";"FC";"JST ZH Connector";"";"1830925";"";"";"";
"1";"ZX62R-B-5PA(11)";"ZX62R-B-5PA(11)";"ZX62R-B-5PA(11)";"USB";"Micro USB Connector";"";"1645325";"";"";"";
